Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
01/12/2020 09:50:38,30.0,Female,Munich,Frontend Developer,9,3,Senior,"JavaScript, TypeScript",PHP,60000.0,4000,51000.0,4000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
01/12/2020 10:11:09,26.0,Female,Hannover,QA Engineer,2,"0,3",Middle,Tricentis Tosca,"Java / Scala, SQL",32000.0,,,,30,Full-time employee,Unlimited contract,German,1000+,Non-tech retail,No,,
01/12/2020 10:48:26,28.0,Female,Berlin,Data Analyst,3,2.5,Middle,SQL,"Python, Javascript / Typescript, Ruby, AWS",53000.0,0,43000.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1500
01/12/2020 14:21:01,23.0,Female,Berlin,Data analyst ,1,1,Junior,Sql ,"Python, R, SQL, Google Cloud",36000.0,36000,36000.0,36000,28,Full-time employee,Unlimited contract,English,1000+,Startup,No,,500
01/12/2020 18:58:24,26.0,Female,Prague,Software Engineer,4,1,Middle,C#,.NET,64000.0,0,55000.0,0,25,Full-time employee,Unlimited contract,"Russian, English",1000+,Product,No,,
01/12/2020 20:57:41,34.0,Female,Hildesheim ,QA Engineer,11,2,Senior,QA,"Python, SQL",60000.0,2000,60000.0,1000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,5.0,
02/12/2020 00:07:14,40.0,Female,Berlin,QA Engineer,16,4,Middle,,PHP,65000.0,,57000.0,,,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,,
02/12/2020 10:35:10,22.0,Female,Eindhoven,Frontend Developer,2,-,Junior,JS,"Javascript / Typescript, SQL, Docker",24000.0,-,,-,24,Full-time employee,Unlimited contract,English,11-50,Product,Laid off for a bit,32.0,-
02/12/2020 11:52:05,26.0,Female,Berlin,Backend Developer,7,0.5,Senior,,,60000.0,,,,24,Full-time employee,Unlimited contract,English,up to 10,Product,No,,
02/12/2020 21:42:33,36.0,Female,Berlin,Data Scientist,5,5,Senior,Python,"Python, R",87000.0,15000,77000.0,12000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
