Preço;Condomínio;Tamanho;Quartos;Banheiros;Suítes;Vagas;Elevador;Mobiliado;Piscina;Novo;Distrito;Negociação;Latitude;Longitude;Região;Classe;Preço_m2
1750;760;60;3;2;1;1;0;0;0;0;Belém;Aluguel;-23.53838;-46.589441;Leste;Popular;29.17
2500;857;113;3;2;1;2;1;0;0;0;Belém;Aluguel;-23.538134;-46.594059;Leste;Popular;22.12
3800;1450;155;3;4;3;3;1;1;0;0;Belém;Aluguel;-23.540085;-46.593312;Leste;Popular;24.52
1600;300;66;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.537299;-46.583385;Leste;Popular;24.24
990;692;57;2;2;1;1;0;0;0;0;Belém;Aluguel;-23.530025;-46.600427;Leste;Popular;17.37
1850;500;57;2;2;1;2;0;0;1;0;Belém;Aluguel;-23.543955;-46.586619;Leste;Popular;32.46
1950;377;55;2;2;1;1;1;1;0;0;Belém;Aluguel;-23.535523;-46.593554;Leste;Popular;35.45
1099;400;85;2;2;1;1;0;0;0;0;Belém;Aluguel;-23.536996;-46.591994;Leste;Popular;12.93
2300;907;114;4;3;2;2;0;0;1;0;Belém;Aluguel;-23.538904;-46.589456;Leste;Popular;20.18
1500;275;80;3;2;1;1;0;0;0;0;Belém;Aluguel;-23.53718;-46.593103;Leste;Popular;18.75
1300;289;44;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.559264;-46.575407;Leste;Popular;29.55
1900;374;55;2;2;1;1;1;1;0;0;Belém;Aluguel;-23.536768;-46.593884;Leste;Popular;34.55
1350;500;51;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.538535;-46.595799;Leste;Popular;26.47
2500;857;115;3;2;1;2;1;0;1;0;Belém;Aluguel;-23.538282;-46.593159;Leste;Popular;21.74
2500;750;73;3;2;1;1;1;0;0;0;Belém;Aluguel;-23.537348;-46.588941;Leste;Popular;34.25
1200;0;48;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.502336;-46.523243;Leste;Popular;25.0
1450;0;65;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.506197;-46.522358;Leste;Popular;22.31
1100;590;64;3;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.509447;-46.530638;Leste;Popular;17.19
870;560;58;2;2;1;1;0;0;1;0;Cangaíba;Aluguel;-23.510982;-46.542666;Leste;Popular;15.0
1300;310;57;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.49777;-46.511826;Leste;Popular;22.81
1000;380;58;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.510943;-46.52949;Leste;Popular;17.24
1100;546;96;3;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.508423;-46.530246;Leste;Popular;11.46
1100;250;48;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.503393;-46.523542;Leste;Popular;22.92
800;0;40;1;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.509073;-46.53732;Leste;Popular;20.0
1200;400;62;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.508439;-46.530778;Leste;Popular;19.35
900;250;53;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.505049;-46.527093;Leste;Popular;16.98
1150;0;52;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.504686;-46.513013;Leste;Popular;22.12
1250;400;55;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.508439;-46.530778;Leste;Popular;22.73
1100;580;60;2;2;1;1;1;0;1;0;Cangaíba;Aluguel;-23.515341;-46.532945;Leste;Popular;18.33
1200;570;67;2;2;1;1;1;0;1;0;Cangaíba;Aluguel;-23.510982;-46.542666;Leste;Popular;17.91
1200;0;50;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.505049;-46.527093;Leste;Popular;24.0
1200;400;55;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.509447;-46.530638;Leste;Popular;21.82
1400;0;55;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.499806;-46.522778;Leste;Popular;25.45
1350;0;52;3;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.505049;-46.527093;Leste;Popular;25.96
1200;587;70;3;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.508423;-46.530246;Leste;Popular;17.14
1300;0;46;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.50448;-46.51085;Leste;Popular;28.26
1000;380;48;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.512882;-46.547654;Leste;Popular;20.83
1600;0;48;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.503393;-46.523542;Leste;Popular;33.33
1600;400;52;2;2;1;1;1;0;1;0;Cangaíba;Aluguel;-23.512219;-46.534244;Leste;Popular;30.77
1150;370;55;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.511022;-46.529594;Leste;Popular;20.91
1200;220;45;2;2;1;1;1;0;0;0;Cangaíba;Aluguel;-23.519551;-46.553027;Leste;Popular;26.67
1500;410;56;3;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.502942;-46.508986;Leste;Popular;26.79
1120;340;48;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.502336;-46.523243;Leste;Popular;23.33
1300;400;55;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.508439;-46.530778;Leste;Popular;23.64
1100;0;60;2;2;1;1;0;0;0;0;Cangaíba;Aluguel;-23.505049;-46.527093;Leste;Popular;18.33
1860;340;50;2;2;1;1;1;1;1;0;Carrão;Aluguel;-23.552816;-46.522893;Leste;Popular;37.2
1400;708;70;2;2;1;1;1;0;1;0;Carrão;Aluguel;-23.56119;-46.543428;Leste;Popular;20.0
3200;850;105;3;4;3;2;0;0;1;0;Carrão;Aluguel;-23.561751;-46.538091;Leste;Popular;30.48
900;500;50;2;2;1;1;1;0;0;0;Carrão;Aluguel;-23.553051;-46.524581;Leste;Popular;18.0
3500;1000;125;3;2;1;2;0;0;0;0;Carrão;Aluguel;-23.543743;-46.540831;Leste;Popular;28.0
3500;1030;126;3;4;3;2;1;0;1;0;Carrão;Aluguel;-23.55404;-46.545111;Leste;Popular;27.78
3500;580;98;2;1;2;2;0;0;1;0;Carrão;Aluguel;-23.551159;-46.540401;Leste;Popular;35.71
1350;345;49;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.552816;-46.522893;Leste;Popular;27.55
2300;374;65;2;2;1;1;1;0;1;0;Carrão;Aluguel;-23.534905;-46.565266;Leste;Popular;35.38
1300;580;62;2;2;1;1;1;0;1;0;Carrão;Aluguel;-23.562428;-46.532338;Leste;Popular;20.97
1400;510;64;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.555378;-46.531058;Leste;Popular;21.88
3500;1030;126;3;5;3;2;1;0;1;0;Carrão;Aluguel;-23.551011;-46.543376;Leste;Popular;27.78
1600;520;64;3;2;1;1;0;0;1;0;Carrão;Aluguel;-23.554469;-46.545331;Leste;Popular;25.0
1000;750;60;2;2;1;1;0;0;1;0;Carrão;Aluguel;-23.556845;-46.541489;Leste;Popular;16.67
2200;678;75;3;2;1;2;0;0;1;0;Carrão;Aluguel;-23.545657;-46.541398;Leste;Popular;29.33
1600;450;54;2;2;1;1;0;0;1;0;Carrão;Aluguel;-23.539497;-46.546527;Leste;Popular;29.63
1700;248;48;2;2;1;1;1;0;1;0;Carrão;Aluguel;-23.556977;-46.524572;Leste;Popular;35.42
1400;510;64;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.557944;-46.532721;Leste;Popular;21.88
1200;497;48;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.558904;-46.539729;Leste;Popular;25.0
1200;450;48;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.552901;-46.525581;Leste;Popular;25.0
1000;320;50;2;2;1;1;0;0;0;0;Carrão;Aluguel;-23.551984;-46.522097;Leste;Popular;20.0
1441;733;70;2;2;1;1;1;1;0;0;Carrão;Aluguel;-23.54162;-46.552255;Leste;Popular;20.59
1200;835;56;2;2;1;1;0;0;1;0;Carrão;Aluguel;-23.556661;-46.546212;Leste;Popular;21.43
1400;550;72;2;2;1;1;1;0;0;0;Carrão;Aluguel;-23.557115;-46.539416;Leste;Popular;19.44
